model,criterion,sparsity,overall_acc,balanced_acc,mel_sensitivity,bcc_sensitivity,akiec_sensitivity,nv_sensitivity,bkl_sensitivity,df_sensitivity,vasc_sensitivity,nonzero_params,size_kb,timestamp,dense_overall_acc,dense_balanced_acc,dense_mel_sensitivity,melanoma_sensitivity_drop,balanced_accuracy_drop
deit_tiny,magnitude,0.2,0.8467299051422865,0.8385701645604557,0.7668161434977578,0.9223300970873788,0.8615384615384616,0.8769574944071589,0.6954545454545454,0.782608695652174,0.9642857142857144,4246733,17437.828125,2026-04-19T03:18:06+00:00,0.8492261607588617,0.8404739474050077,0.757847533632287,-0.008968609865470878,0.001903782844551949
deit_tiny,magnitude,0.4,0.8522216674987518,0.8276730902189257,0.7354260089686099,0.9320388349514565,0.8307692307692308,0.8985831469052945,0.65,0.782608695652174,0.9642857142857144,3185050,13290.62890625,2026-04-19T03:18:30+00:00,0.8492261607588617,0.8404739474050077,0.757847533632287,0.022421524663677084,0.012800857186082037
deit_tiny,magnitude,0.5,0.8432351472790813,0.8039570107719685,0.6771300448430493,0.9320388349514565,0.7692307692307693,0.9082774049217002,0.5863636363636363,0.8260869565217391,0.9285714285714286,2654208,11217.02734375,2026-04-19T03:18:54+00:00,0.8492261607588617,0.8404739474050077,0.757847533632287,0.08071748878923768,0.03651693663303923
deit_tiny,magnitude,0.6,0.8152770843734398,0.6958347307217742,0.4484304932735426,0.8932038834951457,0.6923076923076923,0.9224459358687548,0.5681818181818182,0.7391304347826086,0.6071428571428571,2123366,9143.42578125,2026-04-19T03:19:17+00:00,0.8492261607588617,0.8404739474050077,0.757847533632287,0.30941704035874434,0.14463921668323354
deit_tiny,magnitude,0.7,0.708936595107339,0.5249476365046665,0.2914798206278027,0.8737864077669902,0.5384615384615384,0.8113348247576435,0.5772727272727273,0.2608695652173913,0.3214285714285714,1592525,7069.828125,2026-04-19T03:19:41+00:00,0.8492261607588617,0.8404739474050077,0.757847533632287,0.46636771300448426,0.3155263109003412
deit_tiny,wanda,0.2,0.8487269096355466,0.8354732983648726,0.7623318385650224,0.912621359223301,0.8769230769230769,0.8859060402684564,0.6636363636363637,0.782608695652174,0.9642857142857144,4246733,17437.828125,2026-04-19T03:20:05+00:00,0.8492261607588617,0.8404739474050077,0.757847533632287,-0.004484304932735439,0.005000649040135086
deit_tiny,wanda,0.4,0.7938092860708936,0.7368975231217172,0.7623318385650224,0.6407766990291263,0.8307692307692308,0.8762117822520508,0.3727272727272727,0.782608695652174,0.8928571428571429,3185050,13290.62890625,2026-04-19T03:20:29+00:00,0.8492261607588617,0.8404739474050077,0.757847533632287,-0.004484304932735439,0.1035764242832905
deit_tiny,wanda,0.5,0.7518721917124314,0.6137267338194959,0.5560538116591929,0.3786407766990291,0.7230769230769231,0.8829231916480239,0.3454545454545454,0.6956521739130435,0.7142857142857143,2654208,11217.02734375,2026-04-19T03:20:53+00:00,0.8492261607588617,0.8404739474050077,0.757847533632287,0.2017937219730941,0.22674721358551175
deit_tiny,wanda,0.6,0.617573639540689,0.4491407581804521,0.4887892376681614,0.087378640776699,0.5846153846153846,0.7509321401938852,0.2136363636363636,0.3043478260869565,0.7142857142857143,2123366,9143.42578125,2026-04-19T03:21:17+00:00,0.8492261607588617,0.8404739474050077,0.757847533632287,0.26905829596412556,0.39133318922455557
deit_tiny,wanda,0.7,0.5586620069895157,0.3216867302581688,0.2197309417040358,0.0679611650485436,0.5384615384615384,0.7412378821774795,0.0772727272727272,0.0,0.6071428571428571,1592525,7069.828125,2026-04-19T03:21:40+00:00,0.8492261607588617,0.8404739474050077,0.757847533632287,0.5381165919282511,0.5187872171468388
deit_tiny,taylor,0.2,0.853719420868697,0.819272795827975,0.7443946188340808,0.8932038834951457,0.8461538461538461,0.8970917225950783,0.6863636363636364,0.7391304347826086,0.9285714285714286,4246733,17437.828125,2026-04-19T03:22:04+00:00,0.8492261607588617,0.8404739474050077,0.757847533632287,0.013452914798206206,0.02120115157703273
deit_tiny,taylor,0.4,0.8487269096355466,0.7785955050801526,0.6636771300448431,0.8349514563106796,0.8153846153846154,0.9217002237136466,0.6181818181818182,0.7391304347826086,0.8571428571428571,3185050,13290.62890625,2026-04-19T03:22:28+00:00,0.8492261607588617,0.8404739474050077,0.757847533632287,0.09417040358744388,0.061878442324855065
deit_tiny,taylor,0.5,0.8347478781827259,0.7197739019622161,0.5381165919282511,0.7475728155339806,0.8307692307692308,0.941834451901566,0.55,0.6086956521739131,0.8214285714285714,2654208,11217.02734375,2026-04-19T03:22:52+00:00,0.8492261607588617,0.8404739474050077,0.757847533632287,0.21973094170403584,0.12070004544279156
deit_tiny,taylor,0.6,0.8087868197703445,0.6213277084984344,0.3856502242152466,0.7281553398058253,0.7384615384615385,0.959731543624161,0.4363636363636363,0.5652173913043478,0.5357142857142857,2123366,9143.42578125,2026-04-19T03:23:16+00:00,0.8492261607588617,0.8404739474050077,0.757847533632287,0.3721973094170404,0.21914623890657325
deit_tiny,taylor,0.7,0.7688467299051422,0.4984169430255953,0.2511210762331838,0.6601941747572816,0.6,0.9381058911260254,0.4727272727272727,0.1739130434782608,0.3928571428571428,1592525,7069.828125,2026-04-19T03:23:40+00:00,0.8492261607588617,0.8404739474050077,0.757847533632287,0.5067264573991032,0.3420570043794124
deit_tiny,random,0.2,0.7518721917124314,0.4468289816562444,0.2376681614349775,0.3980582524271844,0.4153846153846154,0.9105145413870246,0.6863636363636364,0.0869565217391304,0.3928571428571428,4246733,17437.828125,2026-04-19T03:24:04+00:00,0.8492261607588617,0.8404739474050077,0.757847533632287,0.5201793721973095,0.3936449657487633
deit_tiny,random,0.4,0.164253619570644,0.1707710832784137,0.0,0.0097087378640776,0.1384615384615384,0.0790454884414616,0.968181818181818,0.0,0.0,3185050,13290.62890625,2026-04-19T03:24:27+00:00,0.8492261607588617,0.8404739474050077,0.757847533632287,0.757847533632287,0.669702864126594
deit_tiny,random,0.5,0.2710933599600599,0.1772794124491525,0.0,0.1359223300970873,0.0,0.2550335570469799,0.85,0.0,0.0,2654208,11217.02734375,2026-04-19T03:24:51+00:00,0.8492261607588617,0.8404739474050077,0.757847533632287,0.757847533632287,0.6631945349558552
deit_tiny,random,0.6,0.1367948077883175,0.1661722080761632,0.0,0.3883495145631068,0.0,0.0566741237882177,0.7181818181818181,0.0,0.0,2123366,9143.42578125,2026-04-19T03:25:15+00:00,0.8492261607588617,0.8404739474050077,0.757847533632287,0.757847533632287,0.6743017393288445
deit_tiny,random,0.7,0.055416874687968,0.1437093853201236,0.0,1.0,0.0,0.005965697240865,0.0,0.0,0.0,1592525,7069.828125,2026-04-19T03:25:39+00:00,0.8492261607588617,0.8404739474050077,0.757847533632287,0.757847533632287,0.6967645620848841
deit_small,magnitude,0.2,0.8886669995007489,0.8630122705212859,0.7399103139013453,0.9029126213592232,0.7384615384615385,0.929903057419836,0.8090909090909091,0.9565217391304348,0.9642857142857144,16986931,68053.2265625,2026-04-19T03:27:14+00:00,0.8886669995007489,0.8624432432029281,0.7533632286995515,0.013452914798206206,-0.0005690273183578398
deit_small,magnitude,0.4,0.8786819770344483,0.840129597856462,0.7130044843049327,0.8640776699029126,0.7846153846153846,0.9321401938851605,0.7454545454545455,0.9130434782608696,0.9285714285714286,12740198,51464.42578125,2026-04-19T03:28:04+00:00,0.8886669995007489,0.8624432432029281,0.7533632286995515,0.04035874439461884,0.02231364534646607
deit_small,magnitude,0.5,0.8662006989515726,0.8133089231725933,0.6367713004484304,0.8349514563106796,0.8153846153846154,0.935868754660701,0.7,0.9130434782608696,0.8571428571428571,10616832,43170.02734375,2026-04-19T03:28:53+00:00,0.8886669995007489,0.8624432432029281,0.7533632286995515,0.11659192825112108,0.0491343200303348
deit_small,magnitude,0.6,0.8337493759360959,0.7077716218107802,0.5381165919282511,0.6893203883495146,0.8307692307692308,0.9336316181953764,0.6318181818181818,0.6521739130434783,0.6785714285714286,8493466,34875.62890625,2026-04-19T03:29:43+00:00,0.8886669995007489,0.8624432432029281,0.7533632286995515,0.2152466367713004,0.15467162139214785
deit_small,magnitude,0.7,0.745381927109336,0.5338433688519599,0.2242152466367713,0.5145631067961165,0.8307692307692308,0.8948545861297539,0.5318181818181819,0.3478260869565217,0.3928571428571428,6370099,26581.2265625,2026-04-19T03:30:34+00:00,0.8886669995007489,0.8624432432029281,0.7533632286995515,0.5291479820627802,0.32859987435096816
deit_small,wanda,0.2,0.8861707438841737,0.85157154949436,0.7354260089686099,0.883495145631068,0.7538461538461538,0.9336316181953764,0.7772727272727272,0.9130434782608696,0.9642857142857144,16986931,68053.2265625,2026-04-19T03:31:23+00:00,0.8886669995007489,0.8624432432029281,0.7533632286995515,0.017937219730941645,0.010871693708568109
deit_small,wanda,0.4,0.854218671992012,0.7947165718708431,0.6098654708520179,0.7475728155339806,0.7384615384615385,0.9463087248322148,0.6,0.9565217391304348,0.9642857142857144,12740198,51464.42578125,2026-04-19T03:32:13+00:00,0.8886669995007489,0.8624432432029281,0.7533632286995515,0.1434977578475336,0.06772667133208499
deit_small,wanda,0.5,0.8152770843734398,0.6846287368903751,0.4439461883408072,0.4466019417475728,0.6461538461538462,0.9582401193139448,0.5272727272727272,0.9130434782608696,0.8571428571428571,10616832,43170.02734375,2026-04-19T03:33:03+00:00,0.8886669995007489,0.8624432432029281,0.7533632286995515,0.30941704035874434,0.17781450631255302
deit_small,wanda,0.6,0.7254118821767349,0.5173259484863354,0.2600896860986547,0.2718446601941747,0.4615384615384615,0.8970917225950783,0.4636363636363636,0.6956521739130435,0.5714285714285714,8493466,34875.62890625,2026-04-19T03:33:53+00:00,0.8886669995007489,0.8624432432029281,0.7533632286995515,0.49327354260089684,0.3451172947165927
deit_small,wanda,0.7,0.5656515227159261,0.3210684007377282,0.0313901345291479,0.058252427184466,0.5384615384615384,0.7188665175242357,0.5045454545454545,0.217391304347826,0.1785714285714285,6370099,26581.2265625,2026-04-19T03:34:44+00:00,0.8886669995007489,0.8624432432029281,0.7533632286995515,0.7219730941704037,0.5413748424651998
deit_small,taylor,0.2,0.8811782326510235,0.8552725804798321,0.726457399103139,0.883495145631068,0.7846153846153846,0.9254287844891872,0.7818181818181819,0.9565217391304348,0.9285714285714286,16986931,68053.2265625,2026-04-19T03:35:34+00:00,0.8886669995007489,0.8624432432029281,0.7533632286995515,0.026905829596412523,0.007170662723095966
deit_small,taylor,0.4,0.8761857214178732,0.8202674484453983,0.6905829596412556,0.8349514563106796,0.7230769230769231,0.9373601789709172,0.75,0.9130434782608696,0.8928571428571429,12740198,51464.42578125,2026-04-19T03:36:25+00:00,0.8886669995007489,0.8624432432029281,0.7533632286995515,0.06278026905829592,0.04217579475752975
deit_small,taylor,0.5,0.8632051922116825,0.8008149014416669,0.6771300448430493,0.8058252427184466,0.6923076923076923,0.9336316181953764,0.6909090909090909,0.9130434782608696,0.8928571428571429,10616832,43170.02734375,2026-04-19T03:37:15+00:00,0.8886669995007489,0.8624432432029281,0.7533632286995515,0.07623318385650224,0.061628341761261196
deit_small,taylor,0.6,0.8422366450324513,0.7423752983412476,0.6188340807174888,0.6310679611650486,0.6461538461538462,0.9336316181953764,0.6681818181818182,0.9130434782608696,0.7857142857142857,8493466,34875.62890625,2026-04-19T03:38:05+00:00,0.8886669995007489,0.8624432432029281,0.7533632286995515,0.13452914798206272,0.12006794486168049
deit_small,taylor,0.7,0.8172740888666999,0.6245198896766972,0.5336322869955157,0.5242718446601942,0.5384615384615384,0.942580164056674,0.6090909090909091,0.6521739130434783,0.5714285714285714,6370099,26581.2265625,2026-04-19T03:38:55+00:00,0.8886669995007489,0.8624432432029281,0.7533632286995515,0.21973094170403584,0.23792335352623084
deit_small,random,0.2,0.7373939091362955,0.4956888308912455,0.2197309417040358,0.3592233009708738,0.4,0.8709917971662938,0.8,0.391304347826087,0.4285714285714285,16986931,68053.2265625,2026-04-19T03:39:44+00:00,0.8886669995007489,0.8624432432029281,0.7533632286995515,0.5336322869955157,0.3667544123116826
deit_small,random,0.4,0.1213180229655516,0.1453073399382124,0.0,0.0,0.0,0.0171513795674869,1.0,0.0,0.0,12740198,51464.42578125,2026-04-19T03:40:34+00:00,0.8886669995007489,0.8624432432029281,0.7533632286995515,0.7533632286995515,0.7171359032647157
deit_small,random,0.5,0.109835247129306,0.1428571428571428,0.0,0.0,0.0,0.0,1.0,0.0,0.0,10616832,43170.02734375,2026-04-19T03:41:24+00:00,0.8886669995007489,0.8624432432029281,0.7533632286995515,0.7533632286995515,0.7195861003457853
deit_small,random,0.6,0.109835247129306,0.1428571428571428,0.0,0.0,0.0,0.0,1.0,0.0,0.0,8493466,34875.62890625,2026-04-19T03:42:14+00:00,0.8886669995007489,0.8624432432029281,0.7533632286995515,0.7533632286995515,0.7195861003457853
deit_small,random,0.7,0.109835247129306,0.1428571428571428,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6370099,26581.2265625,2026-04-19T03:43:04+00:00,0.8886669995007489,0.8624432432029281,0.7533632286995515,0.7533632286995515,0.7195861003457853
